tic_id,toi,disposition,epoch_bjd,period/days,duration/hours,depth,planet_radius,stellar_radius,stteff,logg,tess_mag,prob_planet,rank
190250689,3802.01,PC,2458866.749372,1.4658218,1.294,8700.0,12.9122,1.36,5586.0,4.17,12.5548,0.6474767963987522,2105
153971295,5267.01,PC,2459599.727409,13.7036806,4.766,1020.0,2.8229,0.87,5546.0,4.55,11.9139,0.6474713098887848,2106
23982469,4441.01,PC,2459391.449451,4.3745757,4.8649118,8101.7247421,18.8478934,1.99827,7305.0,4.05424,11.0477,0.6473379547590746,2107
422423972,5297.01,PC,2459851.450755,3.3014986,2.106,5640.0,11.7342,1.53,6311.9,4.16,12.2411,0.6467836231443842,2108
278668358,5272.01,PC,2459822.945623,5.0135727,4.396,3520.0,9.19425,1.56,5930.0,4.08,12.4603,0.6466094589787167,2109
295312916,4990.01,PC,2459383.064288,5.6386197,2.621,5940.0,13.3798,1.56,5373.0,4.02,12.9123,0.6465689082311252,2110
416195870,1264.01,PC,2459765.819264,2.7441672,1.418,5650.0,7.84317,0.97,5040.0,4.38482,10.634,0.6462944042116856,2111
233747840,7347.01,PC,2460525.83422,60.8344877,6.109,42343.0,11.4643,0.51,3736.0,4.73,14.446,0.645992729721859,2112
177257073,6504.01,PC,2460040.002324,6.8328077,5.311,4454.0,9.18199,1.45,5657.0,4.11,13.2222,0.6459455272092702,2113
81963214,6955.01,PC,2460277.209487,5.1185703,6.274,2687.0,11.7972,2.55,6547.8,3.76,12.1032,0.6458550773314063,2114
334757798,3193.01,PC,2458623.315569,2.3019268,2.527,12000.0,10.544,1.23434,5322.0,4.33,13.6132,0.6454452814237,2115
156016136,371.01,PC,2459088.526738,3.4813814,2.2906804,5175.9836967,6.5778157,0.910221,5389.0,4.49,12.6635,0.6449903730200636,2116
163164300,5927.01,PC,2459817.035918,3.7306955,3.657,6140.0,12.6264,1.56,6503.0,4.17,12.143,0.6446948697411923,2117
288612903,5194.01,PC,2459408.106913,7.0485133,3.543,4950.0,9.80458,1.37,5889.0,4.2,12.1605,0.6443585306855856,2118
16552586,6385.01,PC,2459958.847447,2.8895991,3.647,13586.0,18.732,1.51,6451.9,4.19,13.4358,0.6441813196718453,2119
135100529,5628.01,PC,2459640.620156,4.3415097,1.7793909,103523.691837,10.544,1.23434,3427.0,4.438,14.4733,0.6438466412758245,2120
289373041,4090.01,PC,2459771.717799,3.177514,2.043,3640.0,5.10272,0.82,4740.0,4.49,12.5509,0.6431386658120904,2121
130087198,7454.01,PC,2460634.731366,3.1733972,3.857,6260.0,17.95,2.23,6227.0,3.82,13.243,0.6430195208985229,2122
265619984,4736.01,PC,2459222.792459,2.8564778,4.678,5320.0,21.5886,1.65,5777.0,4.02,13.4148,0.6425780761793597,2123
